,Year,MSRP,Drivetrain,Passenger Capacity,Passenger Doors,Body Style,Front Hip Room (in),Front Leg Room (in),Second Shoulder Room (in),Second Head Room (in),Front Shoulder Room (in),Front Head Room (in),Second Leg Room (in),Wheelbase (in),"Width, Max w/o mirrors (in)","Height, Overall (in)","Fuel Tank Capacity, Approx (gal)",EPA Fuel Economy Est - City (MPG),EPA Fuel Economy Est - Hwy (MPG),Fuel System,First Gear Ratio (:1),Fourth Gear Ratio (:1),Second Gear Ratio (:1),Reverse Ratio (:1),Fifth Gear Ratio (:1),Trans Type,Third Gear Ratio (:1),Steering Type,Turning Diameter - Curb to Curb,Front Wheel Material,Suspension Type - Front,Suspension Type - Rear,Air Bag-Frontal-Driver,Air Bag-Frontal-Passenger,Air Bag-Passenger Switch (On/Off),Air Bag-Side Body-Front,Air Bag-Side Body-Rear,Air Bag-Side Head-Front,Air Bag-Side Head-Rear,Brakes-ABS,Child Safety Rear Door Locks,Daytime Running Lights,Traction Control,Night Vision,Rollover Protection Bars,Fog Lamps,Parking Aid,Tire Pressure Monitor,Back-Up Camera,Stability Control,Basic Miles/km,Basic Years,Corrosion Miles/km,Corrosion Years,Drivetrain Miles/km,Drivetrain Years,Roadside Assistance Miles/km,Roadside Assistance Years,Maximum Alternator Capacity (amps),Gear,Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Engine Configuration,Engine Class,Displacement (L),Displacement (cc),Rear Tire Width,Front Tire Width,Rear Wheel Size,Front Wheel Size,Tire Rating,Tire Width Ratio,Wheel Size Ratio,Tire Ratio,Make
10,2016,36870.0,All Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,65.0,16.0,19.0,28.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,279.0,6200.0,252.0,4900.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
11,2016,40370.0,Front Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,65.0,16.0,20.0,29.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,279.0,6200.0,252.0,4900.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
12,2016,39070.0,Front Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,65.0,16.0,20.0,29.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,279.0,6200.0,252.0,4900.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
13,2016,42020.0,Front Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,65.0,16.0,20.0,29.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,279.0,6200.0,252.0,4900.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
14,2016,36670.0,Front Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,65.0,16.0,20.0,29.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,279.0,6200.0,252.0,4900.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
15,2016,35370.0,Front Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,65.0,16.0,20.0,29.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,279.0,6200.0,252.0,4900.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
16,2016,41870.0,All Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,65.0,16.0,19.0,28.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,279.0,6200.0,252.0,4900.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
17,2016,40570.0,All Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,65.0,16.0,19.0,28.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,279.0,6200.0,252.0,4900.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
18,2016,43520.0,All Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,65.0,16.0,19.0,28.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,279.0,6200.0,252.0,4900.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
19,2016,38170.0,All Wheel Drive,5,4,Sport Utility,55.7,42.0,57.2,38.1,58.7,38.7,38.3,105.7,73.7,65.0,16.0,19.0,28.0,SMPI,3.36,1.06,2.09,2.27,0.75,6,1.48,Rack-Pinion,38.9,Aluminum,Strut,Multi-Link,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,50000.0,4.0,150000.0,5.0,70000.0,6.0,50000.0,4.0,130,6.0,279.0,6200.0,252.0,4900.0,6.0,V,Premium,3.5,212.0,235.0,235.0,18.0,18.0,V,1.0,1.0,6.0,Acura
